anuṣṭubh (1,2: pathyā, 3,4: pathyā)	14522
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	1083
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	1063
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	1008
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	1001
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)	720
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	505
gīti (12, 18, 12, 18)	170
āryā (12, 18, 12, 15)	168
vasantatilakā [14: tBjjgg]	122
anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)	104
anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)	95
anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)	90
anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)	87
anuṣṭubh (1,2: ma-vipulā, 3,4: na-vipulā)	78
anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)	77
anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā)	55
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	51
anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)	43
anuṣṭubh (1,2: ma-vipulā, 3,4: bha-vipulā)	41
śārdūlavikrīḍitā [19: msjsttg]	40
aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4	39
pṛthvī [17: jsjsylg]	38
anuṣṭubh (1,2: bha-vipulā, 3,4: ma-vipulā)	32
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	27
indravajrā [11: ttjgg]	27
vaṃśastha [12: jtjr]	26
anuṣṭubh (1,2: bha-vipulā, 3,4: bha-vipulā)	24
		anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)	23
mālinī [15: nnmyy]	19
puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4	18
anuṣṭubh (1,2: ra-vipulā, 3,4: na-vipulā)	11
rathoddhatā [11: rnrlg]	10
śikhariṇī [17: ymnsBlg]	9
śālinī [11: mttgg]	9
anuṣṭubh (1,2: ma-vipulā, 3,4: ra-vipulā)	8
upagīti (12, 15, 12, 15)	7
anuṣṭubh (1,2: ra-vipulā, 3,4: ma-vipulā)	7
mandākrāntā [17: mBnttgg]	6
anuṣṭubh (ardham eva: pathyā)	6
anuṣṭubh (1,2: bha-vipulā, 3,4: ra-vipulā)	5
anuṣṭubh (1,2: na-vipulā, 3,4: ra-vipulā)	5
upendravajrā [11: jtjgg]	4
		ajñātasamavṛtta [11: ssjgg] (? 2 eva pādāḥ yuktāḥ)	4
anuṣṭubh (1,2: ra-vipulā, 3,4: bha-vipulā)	4
		upajāti ...: ajñātam [0: ]	4
		anuṣṭubh (1,2: asamīcīna, 3,4: na-vipulā)	3
		vaṃśastha [12: jtjr] (? 3 eva pādāḥ yuktāḥ)	3
		anuṣṭubh (1,2: na-vipulā, 3,4: asamīcīna)	3
viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4	3
		na kiṃcid adhyavasitam	3
indravaṃśā [12: ttjr]	3
		ajñātasamavṛtta [3: B] (? 2 eva pādāḥ yuktāḥ)	2
anuṣṭubh (1,2: ra-vipulā, 3,4: ra-vipulā)	2
		ajñātasamavṛtta [12: sBry] (? 2 eva pādāḥ yuktāḥ)	2
		anuṣṭubh (1,2: asamīcīna, 3,4: bha-vipulā)	2
		ajñātasamavṛtta [2: ll] (? 2 eva pādāḥ yuktāḥ)	2
		anuṣṭubh (1,2: ma-vipulā, 3,4: asamīcīna)	2
praharṣiṇī [13: mnjrg]	2
		anuṣṭubh (1,2: bha-vipulā, 3,4: asamīcīna)	1
anuṣṭubh (ardham eva: ma-vipulā)	1
		ajñātasamavṛtta [3: y] (? 3 eva pādāḥ yuktāḥ)	1
sragdharā [21: mrBnyyy]	1
		ajñātasamavṛtta [3: r] (? 2 eva pādāḥ yuktāḥ)	1
		anuṣṭubh (1,2: asamīcīna, 3,4: ma-vipulā)	1
		upajāti pratiṣṭhā: ajñātam [4: yg], ajñātam [4: Bl], ajñātam [4: rl] atha vā ajñātasamavṛtta [4: yg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti ...: ajñātam [3: t], ajñātam [3: r] atha vā ajñātasamavṛtta [3: r] (? 2 eva pādāḥ yuktāḥ)	1
svāgatā [11: rnBgg]	1
anuṣṭubh (ardham eva: na-vipulā)	1
anuṣṭubh (1,2: ra-vipulā, 3,4: bha-vipulā (ma-gaṇa-pūrvikā!))	1
		ajñātasamavṛtta [13: njjrg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [4: jl] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [13: Btjrl] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [4: jg] (? 2 eva pādāḥ yuktāḥ)	1
udgīti (12, 15, 12, 18)	1
drutavilambita [12: nBBr]	1
