vaṃśastha [12: jtjr]	203
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	129
anuṣṭubh (1,2: pathyā, 3,4: pathyā)	103
svāgatā [11: rnBgg]	71
puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4	67
viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4	60
pramitākṣarā [12: sjss]	49
praharṣiṇī [13: mnjrg]	46
udgatā = [10: sjsl] + [10: nsjg] + [11: Bnjlg] + [13: sjsjg]	38
rathoddhatā [11: rnrlg]	37
aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4	33
drutavilambita [12: nBBr]	32
vasantatilakā [14: tBjjgg]	23
upendravajrā [11: jtjgg]	22
indravajrā [11: ttjgg]	18
mālinī [15: nnmyy]	13
		vaṃśastha [12: jtjr] (? 3 eva pādāḥ yuktāḥ)	11
		ajñātasamavṛtta [8: nrlg] (? 2 eva pādāḥ yuktāḥ)	8
pramuditavadanā [12: nnrr]	6
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	5
		ajñātasamavṛtta [8: nrll] (? 2 eva pādāḥ yuktāḥ)	5
		praharṣiṇī [13: mnjrg] (? 3 eva pādāḥ yuktāḥ)	4
āryāgīti (12, 20, 12, 20)	4
śālinī [11: mttgg]	3
śikhariṇī [17: ymnsBlg]	3
anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)	3
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	3
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	3
		pramitākṣarā [12: sjss] (? 3 eva pādāḥ yuktāḥ)	2
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)	2
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	2
gīti (12, 18, 12, 18)	1
		ajñātasamavṛtta [10: ssjg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [14: Bssjgg] (? 2 eva pādāḥ yuktāḥ)	1
		indravajrā [11: ttjgg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: rtjgg], indravajrā [11: ttjgg]	1
kṣamā [13: nnttg]	1
jaladharamālā [12: mBsm]	1
jaloddhatagati [12: jsjs]	1
madhyakṣāmā [14: mBnygg]	1
vaṃśapatrapatita [17: BrnBnlg]	1
		vasantatilakā [14: tBjjgg] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: svāgatā [11: rnBgg], ajñātam [11: rBBgg]	1
		upajāti triṣṭubh: ajñātam [11: rsBgg], svāgatā [11: rnBgg]	1
		ajñātasamavṛtta [13: njjrl] (? 2 eva pādāḥ yuktāḥ)	1
anuṣṭubh (1,2: bha-vipulā, 3,4: bha-vipulā)	1
anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)	1
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	1
		ajñātasamavṛtta [13: Bnjjg] (? 2 eva pādāḥ yuktāḥ)	1
		na kiṃcid adhyavasitam	1
		ajñātasamavṛtta [11: ssjgg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātārdhasamavṛtta [sslg, ysBry]	1
		ajñātasamavṛtta [11: ssjgl] (? 2 eva pādāḥ yuktāḥ)	1
		rathoddhatā [11: rnrlg] (? 3 eva pādāḥ yuktāḥ)	1
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	1
		upajāti triṣṭubh: ajñātam [11: tmjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upendravajrā [11: jtjgg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: tjjgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		indravajrā [11: ttjgg] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: rtjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		drutavilambita [12: nBBr] (? 3 eva pādāḥ yuktāḥ)	1
aparavaktra = [11: nnrlg] 1,3 + [12: njjr] 2,4	1
		mattamayūra [13: mtysg] (? 3 eva pādāḥ yuktāḥ)	1
