anuṣṭubh (1,2: pathyā, 3,4: pathyā)	1907
		anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)	135
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	119
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	94
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	84
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	47
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)	38
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	32
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	25
anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)	13
upagīti (12, 15, 12, 15)	12
anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)	12
anuṣṭubh (ardham eva: pathyā)	12
		na kiṃcid adhyavasitam	12
		anuṣṭubh (1,2: asamīcīna, 3,4: ma-vipulā)	11
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	11
anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)	11
		anuṣṭubh (1,2: asamīcīna, 3,4: bha-vipulā)	9
		anuṣṭubh (1,2: ma-vipulā, 3,4: asamīcīna)	6
		ajñātārdhasamavṛtta [msj, sttg]	5
āryā (12, 18, 12, 15)	4
anuṣṭubh (1,2: bha-vipulā, 3,4: bha-vipulā)	4
upendravajrā [11: jtjgg]	4
anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)	3
anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)	3
		anuṣṭubh (1,2: na-vipulā, 3,4: asamīcīna)	3
vaṃśastha [12: jtjr]	3
		anuṣṭubh (1,2: asamīcīna, 3,4: na-vipulā)	2
anuṣṭubh (1,2: ma-vipulā, 3,4: bha-vipulā)	2
svāgatā [11: rnBgg]	2
indravajrā [11: ttjgg]	2
anuṣṭubh (1,2: ma-vipulā, 3,4: na-vipulā)	2
		anuṣṭubh (1,2: asamīcīna, 3,4: ra-vipulā)	2
		ajñātasamavṛtta [6: tr] (? 2 eva pādāḥ yuktāḥ)	2
śālinī [11: mttgg]	2
anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā)	2
anuṣṭubh (1,2: na-vipulā, 3,4: ra-vipulā)	2
		anuṣṭubh (1,2: bha-vipulā, 3,4: asamīcīna)	2
drutavilambita [12: nBBr]	2
vasantatilakā [14: tBjjgg]	2
anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)	2
rathoddhatā [11: rnrlg]	2
		ajñātārdhasamavṛtta [mrBl, nttgg]	2
		ajñātārdhasamavṛtta [tBl, Brg]	2
āryāgīti (12, 20, 12, 20)	1
anuṣṭubh (1,2: bha-vipulā (ma-gaṇa-pūrvikā!), 3,4: pathyā)	1
		upajāti triṣṭubh: ajñātam [11: jttgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti anuṣṭubh: ajñātam [8: jBlg], ajñātam [8: sylg], ajñātam [8: jsgl], ajñātam [8: rBlg]	1
		upendravajrā [11: jtjgg] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti gāyatrī: tanumadhyamā [6: ty], ajñātam [6: ym], somarājī [6: yy], vidyullekhā [6: mm]	1
		upajāti triṣṭubh: ajñātam [11: rnslg], rathoddhatā [11: rnrlg]	1
		ajñātasamavṛtta [5: rlg] (? 2 eva pādāḥ yuktāḥ)	1
aparavaktra = [11: nnrlg] 1,3 + [12: njjr] 2,4	1
		ajñātasamavṛtta [5: slg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: ytjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		ajñātārdhasamavṛtta [ttjrj, tjgg]	1
		upajāti anuṣṭubh: ajñātam [8: mrlg], ajñātam [8: jnlg], ajñātam [8: mrgg] atha vā ajñātasamavṛtta [8: mrlg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [7: yjg] (? 2 eva pādāḥ yuktāḥ)	1
anuṣṭubh (ardham eva: ma-vipulā)	1
		ajñātasamavṛtta [5: rll] (? 2 eva pādāḥ yuktāḥ)	1
mālinī [15: nnmyy]	1
anuṣṭubh (1,2: bha-vipulā, 3,4: ma-vipulā)	1
		ajñātasamavṛtta [8: mrlg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [9: msj] (? 2 eva pādāḥ yuktāḥ)	1
		vaṃśastha [12: jtjr] (? 3 eva pādāḥ yuktāḥ)	1
