anuṣṭubh (1,2: pathyā, 3,4: pathyā)	2980
		anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)	79
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	73
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	56
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	48
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	23
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	16
		na kiṃcid adhyavasitam	16
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	9
anuṣṭubh (ardham eva: pathyā)	5
		anuṣṭubh (1,2: asamīcīna, 3,4: ma-vipulā)	5
upagīti (12, 15, 12, 15)	5
indravajrā [11: ttjgg]	3
mālinī [15: nnmyy]	3
anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)	2
		ajñātasamavṛtta [5: tgl] (? 2 eva pādāḥ yuktāḥ)	2
		ajñātasamavṛtta [4: jg] (? 2 eva pādāḥ yuktāḥ)	2
		ajñātasamavṛtta [5: rll] (? 2 eva pādāḥ yuktāḥ)	2
		ajñātasamavṛtta [4: rg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [5: sgl] (? 2 eva pādāḥ yuktāḥ)	1
udgīti (12, 15, 12, 18)	1
		ajñātasamavṛtta [5: mgl] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [4: rl] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [6: mB] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [5: jgl] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [2: gg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [3: t] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [6: yt] (? 2 eva pādāḥ yuktāḥ)	1
		kanyā [4: mg] (? 2 eva pādāḥ yuktāḥ)	1
		drutavilambita [12: nBBr] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [8: jmgg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: upendravajrā [11: jtjgg], ajñātam [11: tjjgg], indravajrā [11: ttjgg]	1
		ajñātasamavṛtta [6: mj] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātārdhasamavṛtta [nng, ttgg]	1
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā (ma-gaṇa-pūrvikā!))	1
		upajāti triṣṭubh: ajñātam [11: tjjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)	1
anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)	1
vaṃśastha [12: jtjr]	1
		upajāti triṣṭubh: ajñātam [11: jttgg], indravajrā [11: ttjgg]	1
		mālinī [15: nnmyy] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti jagatī: ajñātam [12: ysyB], ajñātam [12: jmnm], ajñātam [12: ystr], ajñātam [12: yrBt]	1
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	1
		ajñātasamavṛtta [7: mrg] (? 2 eva pādāḥ yuktāḥ)	1
