anuṣṭubh (1,2: pathyā, 3,4: pathyā)	639
		anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)	132
āryā (12, 18, 12, 15)	67
śārdūlavikrīḍitā [19: msjsttg]	29
		na kiṃcid adhyavasitam	28
vasantatilakā [14: tBjjgg]	28
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	22
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	21
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	18
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	9
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	8
		śārdūlavikrīḍitā [19: msjsttg] (? 3 eva pādāḥ yuktāḥ)	7
vaṃśastha [12: jtjr]	7
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	6
indravajrā [11: ttjgg]	6
		vaṃśastha [12: jtjr] (? 3 eva pādāḥ yuktāḥ)	5
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	5
		indravajrā [11: ttjgg] (? 2 eva pādāḥ yuktāḥ)	4
upagīti (12, 15, 12, 15)	4
mandākrāntā [17: mBnttgg]	4
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)	4
		anuṣṭubh (1,2: asamīcīna, 3,4: na-vipulā)	3
hariṇī [17: nsmrslg]	3
śikhariṇī [17: ymnsBlg]	2
anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā (ma-gaṇa-pūrvikā!))	2
drutavilambita [12: nBBr]	2
mālinī [15: nnmyy]	2
		vasantatilakā [14: tBjjgg] (? 3 eva pādāḥ yuktāḥ)	2
anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)	2
upendravajrā [11: jtjgg]	2
		śikhariṇī [17: ymnsBlg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [6: tm] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [9: ssj] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti jagatī: ajñātam [12: jtjs], vaṃśastha [12: jtjr], ajñātam [12: jmjr] atha vā vaṃśastha [12: jtjr] (? 2 eva pādāḥ yuktāḥ)	1
		anuṣṭubh (1,2: na-vipulā, 3,4: asamīcīna)	1
		upajāti triṣṭubh: ajñātam [11: ntjgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		ajñātasamavṛtta [7: jBl] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [10: mjtl] (? 2 eva pādāḥ yuktāḥ)	1
		śālinī [11: mttgg] (? 3 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [8: ssll] (? 2 eva pādāḥ yuktāḥ)	1
viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4	1
		sragdharā [21: mrBnyyy] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: mtjgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		indravajrā [11: ttjgg] (? 3 eva pādāḥ yuktāḥ)	1
sragdharā [21: mrBnyyy]	1
pramitākṣarā [12: sjss]	1
		upajāti triṣṭubh: rathoddhatā [11: rnrlg], ajñātam [11: mnrlg]	1
rathoddhatā [11: rnrlg]	1
		ajñātasamavṛtta [14: yjtjgg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: ttjlg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti kṛti: ajñātam [20: rrBtymll], ajñātam [20: jmtmyslg], ajñātam [20: ysmrryll], ajñātam [20: mBrmrygl]	1
		ajñātārdhasamavṛtta [ssjtl, tjrl]	1
		upajāti triṣṭubh: ajñātam [11: Btjgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		ajñātasamavṛtta [8: tBlg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: tttgg], indravajrā [11: ttjgg]	1
		upajāti jagatī: indravaṃśā [12: ttjr], vaṃśastha [12: jtjr] atha vā vaṃśastha [12: jtjr] (? 2 eva pādāḥ yuktāḥ)	1
anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā)	1
		anuṣṭubh (1,2: asamīcīna, 3,4: ma-vipulā)	1
anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)	1
		upajāti jagatī: ajñātam [12: jrtm], ajñātam [12: mrsB], ajñātam [12: yntr], ajñātam [12: yrBy]	1
śālinī [11: mttgg]	1
		upajāti atidhṛti: ajñātam [19: msnsttg], ajñātam [19: msysttg], śārdūlavikrīḍitā [19: msjsttg] atha vā śārdūlavikrīḍitā [19: msjsttg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [10: jnyl] (? 2 eva pādāḥ yuktāḥ)	1
anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)	1
		ajñātasamavṛtta [15: rjtjB] (? 2 eva pādāḥ yuktāḥ)	1
